image_stem,method,psnr
rainier,gaussian_3x3,19.33178759081661
rainier,gaussian_5x5,19.102040456569398
rainier,gaussian_9x9,19.07574536280696
rainier,median_3x3,19.059735372614956
rainier,median_5x5,18.357307706923343
rainier,median_9x9,17.77214156124719
rainier,bilateral_3x3,19.143729026943937
rainier,bilateral_5x5,19.143729026943937
rainier,bilateral_9x9,19.143729026943937
rainier,wiener_3x3,19.289933072516412
rainier,wiener_5x5,18.588437234636647
rainier,wiener_9x9,18.02175466224901
rainier,nlm_3x3,19.812497280023187
rainier,nlm_5x5,19.812497280023187
rainier,nlm_9x9,19.812497280023187
stream,box_3x3,19.297387197724426
stream,box_5x5,18.661908698586114
stream,box_9x9,17.88290461409174
stream,gaussian_3x3,19.520870554507283
stream,gaussian_5x5,19.37734968857779
stream,gaussian_9x9,19.356545999221698
stream,median_3x3,19.251940542586446
stream,median_5x5,18.787355805053867
stream,median_9x9,18.122726931482063
stream,bilateral_3x3,18.946731119128096
stream,bilateral_5x5,18.946731119128096
stream,bilateral_9x9,18.946731119128096
stream,wiener_3x3,19.433631742704744
stream,wiener_5x5,18.81355385493062
stream,wiener_9x9,18.072812604600777
stream,nlm_3x3,19.413795841569858
stream,nlm_5x5,19.413795841569858
stream,nlm_9x9,19.413795841569858
tank,box_3x3,19.943203558526108
tank,box_5x5,19.864439236621926
tank,box_9x9,19.671413723948422
tank,gaussian_3x3,19.9846740010095
tank,gaussian_5x5,20.000217153770514
tank,gaussian_9x9,19.998686607840426
tank,median_3x3,19.75147219839198
tank,median_5x5,19.777961664888974
tank,median_9x9,19.63266327534279
tank,bilateral_3x3,19.84995878256054
tank,bilateral_5x5,19.84995878256054
tank,bilateral_9x9,19.84995878256054
tank,wiener_3x3,20.08713658329423
tank,wiener_5x5,20.017729308619057
tank,wiener_9x9,19.82223562996119
tank,nlm_3x3,19.783083044365135
tank,nlm_5x5,19.783083044365135
tank,nlm_9x9,19.783083044365135
